FacilityType,Risk_Clean,Zip_Clean,Month,InspectionType_Clean,Result_Clean
2,3,20,10,2,2
4,3,49,10,2,2
4,3,5,10,4,1
1,3,14,10,5,2
7,3,25,10,2,2
2,3,22,10,3,2
1,2,29,10,4,2
2,2,26,10,5,6
2,2,53,10,4,1
2,3,9,10,8,0
3,3,7,10,4,2
2,3,45,10,2,4
1,3,29,10,4,0
2,2,31,10,8,2
2,2,42,10,3,2
2,3,16,7,2,4
2,3,58,10,5,2
2,3,24,10,3,2
2,3,45,10,3,2
1,2,15,10,2,2
13,1,1,10,8,2
2,2,58,10,2,4
2,3,30,8,4,2
1,3,19,10,2,2
7,3,4,10,4,2
6,3,53,10,4,1
1,2,12,10,2,2
2,2,13,10,2,2
2,2,31,10,6,1
6,3,16,10,2,0
2,3,36,8,3,1
2,3,40,10,8,2
2,3,4,10,6,2
29,1,15,10,2,4
2,3,7,10,4,2
2,3,26,10,4,2
2,3,20,10,2,4
4,3,31,10,5,1
2,2,29,10,2,0
2,3,40,10,3,2
2,3,22,10,8,1
2,3,4,10,6,2
7,3,34,10,3,2
5,3,34,10,2,4
2,3,20,10,6,1
2,3,43,10,1,1
11,3,16,10,2,2
4,3,40,10,2,0
4,3,6,10,2,0
4,3,55,10,2,0
2,2,26,10,1,0
6,3,32,10,2,1
2,3,20,10,2,2
2,3,12,10,5,0
4,3,34,10,2,1
4,3,4,10,2,1
2,2,25,10,5,2
1,2,36,10,3,2
2,2,7,10,1,2
4,3,27,10,2,2
4,1,6,10,4,1
2,2,8,10,3,2
1,2,47,10,4,4
4,3,31,10,4,1
2,3,47,10,1,6
4,3,6,10,4,1
2,3,26,10,2,4
2,1,22,10,1,2
2,2,26,10,2,4
1,1,33,8,1,1
2,3,28,10,4,2
1,3,29,10,2,0
2,3,22,10,1,2
2,3,20,10,5,6
28,1,15,10,2,2
28,1,15,10,2,2
2,3,12,10,5,2
1,2,37,10,6,1
2,3,9,10,8,0
2,1,53,7,1,5
2,3,7,7,3,2
7,3,14,10,2,0
2,3,53,10,1,2
3,3,5,10,4,0
27,3,18,10,1,2
2,3,20,10,2,4
11,3,47,10,2,2
10,3,22,10,1,0
2,3,57,10,4,2
2,1,16,10,5,2
2,2,29,10,8,2
2,3,7,10,4,2
2,3,19,10,2,2
0,1,25,10,1,5
2,3,25,10,1,5
2,1,43,10,1,1
7,3,38,10,2,2
2,3,19,10,4,2
4,3,6,10,4,0
2,3,31,10,1,5
7,3,4,10,2,2
2,3,34,10,6,0
2,2,33,10,1,1
1,1,9,10,8,0
2,3,53,10,4,1
0,3,8,10,1,5
2,1,13,10,1,1
2,3,16,10,8,2
2,3,13,10,1,1
7,3,14,10,2,0
0,1,45,10,1,5
2,2,12,7,1,5
4,3,6,10,2,0
4,3,4,10,2,4
2,3,20,10,2,2
15,3,7,10,2,0
1,1,36,10,1,2
2,2,10,10,3,2
4,3,4,10,2,2
2,3,25,5,5,6
7,3,38,10,2,2
2,3,28,10,1,2
2,3,28,10,1,2
2,2,43,10,1,2
5,3,19,10,2,2
4,3,37,10,2,0
1,1,18,10,1,2
2,3,7,10,2,4
6,3,16,10,2,2
4,3,11,10,2,2
2,3,7,10,4,2
4,3,6,10,2,1
4,3,11,10,2,2
6,3,14,10,2,2
3,3,16,10,4,2
4,3,4,10,2,2
7,3,43,10,2,1
2,3,4,10,2,4
2,2,12,10,2,6
2,3,24,10,8,2
2,2,40,10,8,1
2,2,16,7,2,4
2,3,4,10,1,0
1,3,29,10,5,0
2,3,12,10,2,0
7,3,25,10,2,2
1,1,36,10,1,5
4,1,19,10,2,4
5,3,19,10,2,4
5,3,53,10,4,0
7,3,40,10,3,2
2,3,12,10,2,6
11,3,40,10,3,1
2,3,23,10,5,6
7,3,4,10,2,2
2,3,7,10,2,2
7,3,40,10,1,0
1,3,34,10,6,1
4,3,59,10,4,2
2,3,30,10,2,2
2,2,2,10,6,0
1,3,29,10,4,0
4,1,38,10,2,2
3,3,7,10,2,2
20,1,14,10,1,0
2,2,12,10,2,2
1,2,9,10,8,0
4,3,27,10,2,2
7,3,2,10,2,2
1,2,19,10,2,4
2,3,11,10,2,4
1,1,43,10,1,2
2,2,19,10,1,2
1,1,43,10,1,2
8,3,7,10,2,2
2,3,27,7,2,4
7,3,17,7,2,6
2,3,28,10,4,2
2,1,53,10,1,2
6,3,60,10,3,2
2,3,12,10,5,2
9,2,29,10,2,0
2,3,53,10,2,2
2,1,22,10,1,5
2,2,28,10,8,2
3,3,5,10,4,0
2,1,22,10,1,5
2,3,11,10,1,2
2,3,7,10,8,1
3,3,14,10,2,2
2,3,15,10,2,0
1,1,15,10,2,4
2,3,32,7,4,1
2,3,24,10,1,0
2,3,31,10,1,0
2,3,17,10,8,2
2,3,18,10,5,2
7,3,32,10,2,2
2,2,28,10,3,1
2,2,18,6,6,1
6,3,1,10,1,2
2,3,54,10,8,2
1,2,36,10,3,0
9,2,29,10,4,2
6,3,40,10,1,0
8,3,7,10,2,2
2,2,19,10,4,2
2,2,34,10,1,2
1,1,36,10,3,2
2,2,34,10,2,4
2,3,29,10,4,1
3,3,7,10,4,2
2,2,30,10,1,1
2,3,21,10,4,2
30,2,22,10,1,2
1,1,1,10,1,5
2,1,54,10,1,2
4,3,18,10,2,2
2,2,15,10,2,2
1,3,45,10,8,2
2,3,50,10,1,1
7,3,10,10,2,2
2,3,54,10,1,2
2,3,14,10,5,2
2,3,16,10,7,2
31,3,29,10,4,2
5,3,19,10,1,2
4,3,6,10,2,2
2,3,50,10,1,1
1,1,52,10,1,2
2,3,35,10,1,1
2,3,15,10,4,2
2,3,26,10,2,0
5,3,34,10,1,1
2,3,6,10,3,1
7,3,10,10,2,4
2,3,55,10,2,4
2,3,7,10,4,0
4,3,6,10,2,2
5,3,41,10,2,2
0,3,45,10,1,2
2,2,26,10,1,5
31,3,34,10,1,2
6,3,43,10,1,1
7,3,14,10,3,2
2,3,16,10,5,2
2,3,38,10,2,4
2,3,19,10,6,2
8,3,7,10,2,0
5,3,18,10,2,2
1,2,9,10,5,0
5,3,18,10,2,6
5,3,18,10,2,6
2,3,17,10,8,0
1,2,45,10,1,0
1,2,26,10,2,2
1,2,29,10,2,0
2,3,29,10,2,2
2,3,12,10,2,2
2,2,21,10,1,5
2,3,19,10,4,2
2,2,40,10,2,4
7,1,38,10,2,2
2,3,12,10,2,4
2,3,28,10,4,2
4,3,37,10,2,1
2,3,9,10,5,0
2,3,35,7,5,1
2,2,40,10,1,2
2,3,16,10,5,2
4,3,5,10,4,0
2,3,29,10,4,2
2,3,55,10,2,2
2,2,15,10,2,1
7,3,38,10,2,2
7,3,4,10,2,1
4,3,40,10,4,1
11,3,29,10,4,2
32,1,37,10,8,1
2,3,35,10,2,1
15,3,21,10,4,1
3,3,7,10,2,0
5,3,35,10,1,1
11,3,18,10,2,6
1,3,55,10,2,0
2,3,12,10,2,0
1,1,29,10,2,4
7,3,4,10,2,1
4,3,6,10,2,0
1,1,29,10,1,2
4,3,18,10,2,0
2,3,4,10,6,6
2,3,15,10,4,1
4,2,37,10,2,2
4,3,38,10,2,2
7,3,32,10,2,2
2,2,28,10,1,0
4,3,5,10,2,0
2,2,15,10,2,2
1,2,28,10,2,0
1,1,29,10,2,2
2,3,16,10,2,2
2,3,13,10,4,1
2,3,55,10,2,2
2,2,53,10,8,1
4,3,11,10,2,2
2,3,12,10,2,2
31,3,47,10,2,2
3,3,6,10,8,1
15,3,7,10,2,2
9,3,19,10,3,2
1,2,42,10,5,0
1,1,18,10,1,2
24,1,20,10,5,6
17,1,18,10,2,4
1,1,45,10,1,5
2,3,21,10,1,2
2,3,26,10,2,0
